,Unnamed: 0,title,poster,release_date,over_view
46,46,프라이빗 매터,/t/p/w94_and_h141_bestv2/8MTaEQ0HoJHiF0TkSMhVZcA5X9c.jpg,"9월 16, 2022","1940년대 갈리시아, 형사의 영혼을 지닌 대담한 상류층 여성 마리나 키로가는 충실한 집사 엑토르의 도움으로 도시를 공포에 떨게 하는 살인범을 잡으려 한다."
47,47,그랜드 투어,/t/p/w94_and_h141_bestv2/ryuUHw2CNEdXafg4e5FuiUJpvVK.jpg,"11월 17, 2016","제러미 클락슨, 리처드 해먼드, 제임스 메이가 '그랜드 투어'로 돌아온다. 그들의 모험과 흥분, 우정을 다루며, 아무리 자동차 쇼라고 해도 친구라는 이들이 얼마나 성가신지 깨닫게 될 것이다. 세 사람과 함께 전 세계로 모험을 떠나 본다."
48,48,Hernán,/t/p/w94_and_h141_bestv2/adJ2jnpz77ai4coQqNzzBQ0OiXN.jpg,"11월 21, 2019",정보 없음
49,49,"Harina, El Teniente vs El Cancelador",/t/p/w94_and_h141_bestv2/7U1yGtb8Oz1Yej5idGh2mKtDQK5.jpg,"3월 10, 2022",정보 없음
50,50,엘 시드,/t/p/w94_and_h141_bestv2/qgKB7PgoAIUXNAs8xr4OjThgp4C.jpg,"12월 18, 2020","루이 디아스 데 비바르는 훗날 레온과 카스티야의 왕이 될 산초 왕자를 충성스럽게 모시는 젊은 시종이다. 그러나 타고난 검 실력으로 입신양명하기 위해 애쓰는 사이, 왕의 시해 음모에 휘말리게 된다. 이 음모로 인해 기독교도 왕국에서도 무슬림 타이파처럼 수많은 피바람과 고통, 죽음이 몰아치게 된다."
51,51,나는 네가 지난 여름에 한 일을 알고 있다,/t/p/w94_and_h141_bestv2/udvw5tHwEu8VI7e07qpVLZAw8o2.jpg,"10월 14, 2021","비밀로 가득한 마을에서 졸업식 날 밤 벌어진 치명적인 사고로부터 1년이 지난 후, 의문의 살인자가 한 10대 무리를 쫓는다."
52,52,산적의 딸 로냐,/t/p/w94_and_h141_bestv2/cFdQv0bmQqaTAtPJU5MhyfhIZ28.jpg,"10월 11, 2014",정보 없음
53,53,알렉스 라이더,/t/p/w94_and_h141_bestv2/2RpfJBZKOZHbxvJ07TwVeJ4J4hU.jpg,"6월  4, 2020",알렉스 라이더가 그의 삼촌 이안이 실제로 영국 스파이로서의 임무 수행 중에 살해되었다는 것을 알게 되면서 모든것이 바뀐다.
54,54,더 리그,/t/p/w94_and_h141_bestv2/buRe826xkgyU95nyMaDMuCNxfQn.jpg,"1월  6, 2023",북해에 위치한 석유 시추선 선원들이 귀환하려고 하는 순간 알 수 없는 안개가 몰려와 외부와의 모든 통신이 차단되면서 벌어지는 이야기
55,55,FC Barcelona: A New Era,/t/p/w94_and_h141_bestv2/v0mDpAGl2ttgIiQimB9wRBEZP5n.jpg,"12월 28, 2022",정보 없음
56,56,The Angry Video Game Nerd,/t/p/w94_and_h141_bestv2/ooVBPGUi2LQqHXJhqYj4eLJFrU6.jpg,"5월 25, 2004",정보 없음
57,57,La Jauría,/t/p/w94_and_h141_bestv2/siTwS1bBCzFFzjBEyoZg51jsfmv.jpg,"7월 10, 2020",정보 없음
58,58,모차르트 인 더 정글,/t/p/w94_and_h141_bestv2/4mTEw29l1HCfsHbBp2QCYxy82w3.jpg,"2월  6, 2014",오케스트라 지휘자 로드리고와 오보이스트 헤일리를 중심으로 오케스트라 연주자들의 이야기를 코믹하게 그린 드라마
59,59,마라도나: 축복받은 꿈,/t/p/w94_and_h141_bestv2/8HwaqczRltL1vjMlwJxeTJnm9e.jpg,"10월 29, 2021",마라도나는 마약 과다 복용으로 목숨이 위태로워진다. 디에고는 전설적인 축구 선수로 가는 길 위에 오른다.
60,60,더 와일즈,/t/p/w94_and_h141_bestv2/gHBtyMdHbWoM3tpM8VZymer8HfF.jpg,"12월 11, 2020",비행기 추락으로 무인도에 좌초된 다양한 배경의 십 대 여자아이들이 생존을 위해 사투를 벌이게 된다. 이들은 서로에 대해 그리고 각자의 비밀과 과거의 트라우마 등에 대해 알아가면서 충돌하기도 하고 친해지기도 한다. 하지만 이 스릴 넘치는 드라마에 반전이 있는데… 이들은 사고로 섬에 갇힌 게 아니다.
61,61,07년 졸업반,/t/p/w94_and_h141_bestv2/nl8UGByv5fiduCnUXJe2R1MpQLt.jpg,"3월 16, 2023",여자 고등학교 졸업 10주년 기념 동창회에 해일이 몰아치면서 동창들은 대재앙을 이겨내는 것은 물론이고 서로를 견뎌낼 방법을 찾아야 한다.
