,id,title,genre_ids,vote_average,vote_count,poster_path
90,303857,Dragon Ball Z: Resurrection 'F',"['Action', 'Animation', 'Science Fiction']",6.8,1439,/t/p/w94_and_h141_bestv2/e6kmwINMGyPNxuoZyjIlhiXyYGH.jpg
91,628878,Panama,"['Action', 'Thriller']",5.9,69,/t/p/w94_and_h141_bestv2/gQuSWN6fenjX8sDOlFd9U7PTjny.jpg
92,756681,Veneciafrenia,['Horror'],6.1,104,/t/p/w94_and_h141_bestv2/luMC56bwZqaECYRz6X7sXjqN6nd.jpg
93,799876,The Outfit,"['Crime', 'Drama', 'Thriller']",7.1,352,/t/p/w94_and_h141_bestv2/yju3CSIR8fdNsZyPdMsUun7XQnd.jpg
94,689700,Clean,"['Crime', 'Drama', 'Thriller']",6.6,194,/t/p/w94_and_h141_bestv2/gnWr71M3GhvVZs64UVMuvpdhHHb.jpg
95,744275,After We Fell,"['Romance', 'Drama']",7.1,1833,/t/p/w94_and_h141_bestv2/o0PgoBD6jLYId3LYpu9yUY06SLT.jpg
96,880313,The Wrath of God,"['Thriller', 'Drama']",6.4,113,/t/p/w94_and_h141_bestv2/lFhxNXEK0UpXXqSbhba83Zhl2uk.jpg
97,524434,Eternals,"['Science Fiction', 'Action', 'Adventure']",7.1,6065,/t/p/w94_and_h141_bestv2/aNtAP8ZzUMdnCPoqYgVOcgI0Eh4.jpg
98,975120,Father There Is Only One 3,"['Comedy', 'Family']",6.6,15,/t/p/w94_and_h141_bestv2/bb7mPVCKVPGFM0NTqd5JmqqI4gu.jpg
99,875104,Ip Man: The Awakening,"['Action', 'Drama', 'Adventure']",7.1,49,/t/p/w94_and_h141_bestv2/u5inEFexijeDQdytlkoSspIoWsU.jpg
100,778855,Chickenhare and the Hamster of Darkness,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",7.5,164,/t/p/w94_and_h141_bestv2/2v6f1EqTo4FUxVT9MDXpF6158AX.jpg
101,945657,Titanic 666,"['Thriller', 'Horror']",5.6,49,/t/p/w94_and_h141_bestv2/EX0ITg5YqDgFHjujpTNhEPaJSL.jpg
102,460458,Resident Evil: Welcome to Raccoon City,"['Horror', 'Action', 'Science Fiction']",6.1,1762,/t/p/w94_and_h141_bestv2/3d1ij4MEw3h2AZv62C49ysDfuG1.jpg
103,809717,Moonbound,"['Animation', 'Adventure', 'Family', 'Fantasy']",6.2,56,/t/p/w94_and_h141_bestv2/bkp1oHMvDwDTlbRhCcqAK0A7JNd.jpg
104,460465,Mortal Kombat,"['Action', 'Fantasy', 'Adventure']",7.2,4798,/t/p/w94_and_h141_bestv2/3dTg1pgasstOa0XJTwt3dBFHjFf.jpg
105,760104,X,"['Horror', 'Mystery', 'Thriller']",6.7,715,/t/p/w94_and_h141_bestv2/woTQx9Q4b8aO13jR9dsj8C9JESy.jpg
106,883502,Fortress: Sniper's Eye,['Action'],5.9,97,/t/p/w94_and_h141_bestv2/61J34xHVVdQHbJ4MSCWQo4e727v.jpg
107,324786,Hacksaw Ridge,"['Drama', 'History', 'War']",8.2,11249,/t/p/w94_and_h141_bestv2/nlvcNogJK9R9iIj0YINApQE36FF.jpg
108,860623,Last Man Down,"['Action', 'Thriller']",6.2,524,/t/p/w94_and_h141_bestv2/4B7liCxNCZIZGONmAMkCnxVlZQV.jpg
109,508943,Luca,"['Animation', 'Comedy', 'Family', 'Fantasy']",7.9,6566,/t/p/w94_and_h141_bestv2/cgQMmwPtSInmIvoQLJhoByBelGA.jpg
110,387844,Nice Sister-In-Law,"['Romance', 'Drama']",5.7,11,/t/p/w94_and_h141_bestv2/3pEs4hmeHvTAsmx09whEaPDOQpq.jpg
111,763285,Ambulance,"['Action', 'Thriller', 'Crime']",6.9,1021,/t/p/w94_and_h141_bestv2/t28iy60uX4sRZhKo2MMxCKyQw1a.jpg
112,19995,Avatar,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",7.5,25859,/t/p/w94_and_h141_bestv2/zygmx5abXeDpr3fWYX4jlXFZ1wh.jpg
113,980804,LEGO Star Wars Summer Vacation,"['Adventure', 'Family', 'Fantasy', 'Animation', 'Comedy']",5.6,17,/t/p/w94_and_h141_bestv2/2SatEFCs04oFRqkZuY1fODYXeFI.jpg
114,893370,Virus:32,['Horror'],7.2,113,/t/p/w94_and_h141_bestv2/wZiF79hbhLK1U2Pj9bF67NAKXQR.jpg
115,831946,Interceptor,"['Action', 'Thriller', 'Adventure']",6.2,471,/t/p/w94_and_h141_bestv2/kBk8dcAZLijnzsNkagTB4bl9YTx.jpg
116,744276,After Ever Happy,"['Romance', 'Drama']",0.0,0,/t/p/w94_and_h141_bestv2/fZqvzsekRXxRrtEKIWoAWP5eqe7.jpg
117,803114,The Requin,['Thriller'],4.6,161,/t/p/w94_and_h141_bestv2/i0z8g2VRZP3dhVvvSMilbOZMKqR.jpg
118,337404,Cruella,"['Comedy', 'Crime']",8.1,7347,/t/p/w94_and_h141_bestv2/ejnSfKiUgqyiqdiLMc1wGAwvyTN.jpg
119,833425,No Exit,"['Horror', 'Thriller']",7.0,659,/t/p/w94_and_h141_bestv2/aZmNC8uP82HQpykPDQvJhm7Rxu8.jpg
120,823625,Blacklight,"['Action', 'Thriller']",6.3,561,/t/p/w94_and_h141_bestv2/4S09SjrU5vL6zK0FbDY3YnxtmR3.jpg
121,973608,Larva Pendant,"['Comedy', 'Family', 'Animation']",6.9,61,/t/p/w94_and_h141_bestv2/zDG3Jx9mCHm0da3Vmp0rJPWsYnl.jpg
122,397567,Along with the Gods: The Two Worlds,"['Drama', 'Fantasy', 'Action']",8.1,636,/t/p/w94_and_h141_bestv2/5j2YVF7VouLG0Ze96SEsj4DnVQM.jpg
123,708471,The Last Zombie,['Horror'],5.7,3,/t/p/w94_and_h141_bestv2/yM8a1dDRsJUhq1xKxq1UNdWXpod.jpg
124,648579,The Unbearable Weight of Massive Talent,"['Action', 'Comedy', 'Crime']",7.0,566,/t/p/w94_and_h141_bestv2/5x5bPbnW9bS2QbNnc7bjmljuS14.jpg
125,758724,The Cellar,"['Horror', 'Mystery']",6.5,117,/t/p/w94_and_h141_bestv2/cPVe8DLpoYBycK644ZP9pu8xHMr.jpg
126,726684,Miraculous World: Shanghai – The Legend of Ladydragon,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Action', 'TV Movie']",7.9,465,/t/p/w94_and_h141_bestv2/qQ0VKsGRQ2ofAmswGNzZnvC1xPE.jpg
127,518068,Along with the Gods: The Last 49 Days,"['Drama', 'Fantasy', 'Action']",8.2,369,/t/p/w94_and_h141_bestv2/2ETx0U2Q5gUHtPJZiQ3hakTqyaR.jpg
128,978436,Adanis: Kutsal Kavga,"['Drama', 'Action', 'Adventure']",5.0,4,/t/p/w94_and_h141_bestv2/1G5mt3uGUW5OWUcxcBUtHm5Zdd9.jpg
129,809140,Father Stu,['Drama'],7.7,242,/t/p/w94_and_h141_bestv2/pLAeWgqXbTeJ2gQtNvRmdIncYsk.jpg
130,585245,Clifford the Big Red Dog,"['Family', 'Adventure', 'Comedy', 'Fantasy']",7.3,1353,/t/p/w94_and_h141_bestv2/95UXYFmoZiuChdC3qCo2jXdHGi8.jpg
131,425909,Ghostbusters: Afterlife,"['Fantasy', 'Comedy', 'Adventure']",7.6,3048,/t/p/w94_and_h141_bestv2/in2aUEUaFxBJZniu9qZh5P9s1Tw.jpg
132,800510,Kimi,['Thriller'],6.2,477,/t/p/w94_and_h141_bestv2/vozj0BnMcRUEsNHQXcYWnEtNpov.jpg
133,20982,Naruto Shippuden the Movie,"['Animation', 'Action', 'Fantasy']",7.2,460,/t/p/w94_and_h141_bestv2/vDkct38sSFSWJIATlfJw0l3QOIR.jpg
134,778810,Fireheart,"['Animation', 'Comedy', 'Family']",7.6,146,/t/p/w94_and_h141_bestv2/hepwOZWJNUmLzB68gKYEdEJAaD3.jpg
135,420821,Chip 'n Dale: Rescue Rangers,"['Animation', 'Family', 'Comedy', 'Adventure', 'Mystery']",7.1,718,/t/p/w94_and_h141_bestv2/4kTuLUj0806N4QQXpTU0zYGDnu7.jpg
136,545611,Everything Everywhere All at Once,"['Action', 'Adventure', 'Science Fiction']",8.3,1280,/t/p/w94_and_h141_bestv2/aCW0sC55bFnOaUBP2eUGryvAJXf.jpg
137,928270,Heatwave,['Thriller'],7.3,49,/t/p/w94_and_h141_bestv2/AeeXeyiiPOyybnjSnJoSTixOZQq.jpg
138,476669,The King's Man,"['Action', 'Adventure', 'Thriller', 'War', 'Mystery']",6.9,3034,/t/p/w94_and_h141_bestv2/vOai6V9hsIqZu15zDKydPmzu4EN.jpg
139,675445,PAW Patrol: The Movie,"['Animation', 'Family', 'Adventure', 'Comedy']",7.4,994,/t/p/w94_and_h141_bestv2/eCwoA6FoMyvBaO4HB4BzhAKa1Mw.jpg
140,791373,Zack Snyder's Justice League,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",8.3,8026,/t/p/w94_and_h141_bestv2/qd7iPB26bwMPZqRcnflzAeDkMn.jpg
141,799348,Yool and Seul,['Drama'],6.0,1,/t/p/w94_and_h141_bestv2/rn45MTTFCLxIIayAd88tZ4za3ic.jpg
142,423108,The Conjuring: The Devil Made Me Do It,"['Horror', 'Mystery', 'Thriller']",7.6,4597,/t/p/w94_and_h141_bestv2/yxPlLa5p54Wk1o2koiW4hqn4wfG.jpg
143,624860,The Matrix Resurrections,"['Science Fiction', 'Action', 'Adventure']",6.7,4000,/t/p/w94_and_h141_bestv2/AvWlbyLk32HdvSrrSTYpjmXHEXC.jpg
144,877183,The Simpsons in Plusaversary,"['Animation', 'Comedy', 'Fantasy']",6.6,319,/t/p/w94_and_h141_bestv2/jgevBYQnhBJqbMdN21UTvPduXCB.jpg
145,512195,Red Notice,"['Action', 'Comedy', 'Crime', 'Thriller']",6.8,3964,/t/p/w94_and_h141_bestv2/gG06Uu6UQseYaPx1RU2PQjFEUKK.jpg
146,317442,The Last: Naruto the Movie,"['Action', 'Romance', 'Animation']",7.9,1254,/t/p/w94_and_h141_bestv2/zAxdiiyYbwmCUqzRJAsF3My9bsI.jpg
147,347201,Boruto: Naruto the Movie,"['Animation', 'Action', 'Comedy']",7.6,1066,/t/p/w94_and_h141_bestv2/pvYHOrNCdlJR9uiVvxyqAfIeA3a.jpg
148,606402,Yaksha: Ruthless Operations,['Action'],6.2,105,/t/p/w94_and_h141_bestv2/nOYyuJ2mNo6RWsFsTwApEyG3F4J.jpg
149,755812,"Miraculous World: New York, United HeroeZ","['Animation', 'Family', 'Adventure', 'TV Movie', 'Fantasy', 'Action']",8.2,915,/t/p/w94_and_h141_bestv2/9YbyvcrHmY2SVbdfXpb8mC4Fy0g.jpg
